ISIN,POWERRANK,POWERRATING,TIMESTAMP
INF846K01EW2,34,OUT_OF_FORM,2026-03-01
INF740KA1LG1,6,ON_TRACK,2026-03-01
INF174V01721,12,ON_TRACK,2026-03-01
INF769K01ED6,4,ON_TRACK,2026-03-01
INF761K01BO6,17,OFF_TRACK,2026-03-01
INF789F01VF3,11,OFF_TRACK,2026-03-01
INF277KA1CC0,2,IN_FORM,2026-03-01
INF740KA1UQ1,,IN_FORM,2026-03-01
INF090I01IW2,5,IN_FORM,2026-03-01
INF179KC1JF5,,IN_FORM,2026-03-01
INF204K01H36,4,IN_FORM,2026-03-01
INF769K01BL5,1,IN_FORM,2026-03-01
INF200KB1811,,IN_FORM,2026-03-01
INF200KA18E2,12,ON_TRACK,2026-03-01
INF879O01027,2,IN_FORM,2026-03-01
INF336L01DW4,14,ON_TRACK,2026-03-01
INF582M01IO7,14,OFF_TRACK,2026-03-01
INF174K01LI3,10,ON_TRACK,2026-03-01
INF209K01WE3,17,OFF_TRACK,2026-03-01
INF663L01GR4,25,OUT_OF_FORM,2026-03-01
INF247L01890,3,IN_FORM,2026-03-01
INF109KC1V18,7,ON_TRACK,2026-03-01
INF846K01VJ3,11,ON_TRACK,2026-03-01
INF179KC1DU7,2,IN_FORM,2026-03-01
INF200KA1DF3,12,ON_TRACK,2026-03-01
INF109K014O9,9,ON_TRACK,2026-03-01
INF090I01JF5,1,IN_FORM,2026-03-01
INF173K01FE6,20,OFF_TRACK,2026-03-01
INF955L01HF7,2,IN_FORM,2026-03-01
INF846K01CQ8,26,OUT_OF_FORM,2026-03-01
INF178L01AL9,10,ON_TRACK,2026-03-01
INF200K01UM9,2,IN_FORM,2026-03-01
INF846K013D2,5,IN_FORM,2026-03-01
INF173K01HZ7,33,OFF_TRACK,2026-03-01
INF761K01DM6,5,IN_FORM,2026-03-01
INF200KA16P2,8,ON_TRACK,2026-03-01
INF582M01765,28,OFF_TRACK,2026-03-01
INF179KC1IQ4,3,IN_FORM,2026-03-01
INF959L01CX3,23,OFF_TRACK,2026-03-01
INF789F01TU6,13,OFF_TRACK,2026-03-01
INF277K011O1,15,OFF_TRACK,2026-03-01
INF209KC1332,,OFF_TRACK,2026-03-01
INF966L01721,11,ON_TRACK,2026-03-01
INF789F1AYL4,10,IN_FORM,2026-03-01
INF789F01XA0,7,IN_FORM,2026-03-01
INF277K01PK1,24,ON_TRACK,2026-03-01
INF917K01D12,16,IN_FORM,2026-03-01
INF966L01556,4,IN_FORM,2026-03-01
INF109K1A369,9,ON_TRACK,2026-03-01
INF760K01KI1,11,ON_TRACK,2026-03-01
INF740KA1TW1,,IN_FORM,2026-03-01
INF397L01JS1,22,OUT_OF_FORM,2026-03-01
INF194K01Z02,20,OUT_OF_FORM,2026-03-01
INF769K01GX9,6,IN_FORM,2026-03-01
INF205K01KY4,5,IN_FORM,2026-03-01
INF179KC1IM3,4,ON_TRACK,2026-03-01
INF200K01RJ1,11,ON_TRACK,2026-03-01
INF666M01FA3,27,OUT_OF_FORM,2026-03-01
INF666M01HM4,7,IN_FORM,2026-03-01
INF966L01BL5,16,ON_TRACK,2026-03-01
INF846K019E7,5,IN_FORM,2026-03-01
INF194KB1IS2,,IN_FORM,2026-03-01
INF109KC13X2,,IN_FORM,2026-03-01
INF277KA1AO9,2,IN_FORM,2026-03-01
INF397L01AZ5,18,OFF_TRACK,2026-03-01
INF277KA1BM1,,IN_FORM,2026-03-01
INF174KA1SL1,,IN_FORM,2026-03-01
INF247L01BI6,,IN_FORM,2026-03-01
INF109K1A252,,IN_FORM,2026-03-01
INF209K01VH8,21,OUT_OF_FORM,2026-03-01
INF204K01K49,6,IN_FORM,2026-03-01
INF789F1AVF2,,ON_TRACK,2026-03-01
INF082J01382,7,OFF_TRACK,2026-03-01
INF789F1AVH8,,IN_FORM,2026-03-01
INF579M01AI2,2,IN_FORM,2026-03-01
INF754K01QL5,1,IN_FORM,2026-03-01
INF192K01MV6,18,OFF_TRACK,2026-03-01
INF247L01EB5,,IN_FORM,2026-03-01
INF277KA1BG3,,IN_FORM,2026-03-01
INF955L01971,11,OFF_TRACK,2026-03-01
INF109K016L0,3,IN_FORM,2026-03-01
INF109KC13E2,6,IN_FORM,2026-03-01
INF109K01Y31,22,ON_TRACK,2026-03-01
INF200K01T51,23,OUT_OF_FORM,2026-03-01
INF336L01NV5,12,ON_TRACK,2026-03-01
INF204KA1W77,17,OFF_TRACK,2026-03-01
INF966L01AD4,1,IN_FORM,2026-03-01
INF680P01042,25,OUT_OF_FORM,2026-03-01
INF200KA14W3,8,OFF_TRACK,2026-03-01
INF277K013A6,7,ON_TRACK,2026-03-01
INF209KA1TP9,14,OFF_TRACK,2026-03-01
INF173K01GZ9,4,IN_FORM,2026-03-01
INF846K01WO1,6,OFF_TRACK,2026-03-01
INF174KA1GA9,2,IN_FORM,2026-03-01
INF277KA1CO5,,IN_FORM,2026-03-01
INF767K01FF2,19,IN_FORM,2026-03-01
INF179KC1AO6,4,ON_TRACK,2026-03-01
INF955L01AG0,18,OFF_TRACK,2026-03-01
INF194KB1HA2,,ON_TRACK,2026-03-01
INF1J2R01072,33,ON_TRACK,2026-03-01
INF174KA1VE0,,IN_FORM,2026-03-01
INF109KC1R14,3,IN_FORM,2026-03-01
INF247L01DU7,,IN_FORM,2026-03-01
INF754K01BS2,8,IN_FORM,2026-03-01
INF789F1AZR8,8,OUT_OF_FORM,2026-03-01
INF277K01PJ3,3,IN_FORM,2026-03-01
INF789F1AZV0,5,ON_TRACK,2026-03-01
INF579M01AN2,12,ON_TRACK,2026-03-01
INF277K01MN2,24,OUT_OF_FORM,2026-03-01
INF0QA701BG6,17,ON_TRACK,2026-03-01
INF789F1AYR1,2,ON_TRACK,2026-03-01
INF204KB12Z0,,IN_FORM,2026-03-01
INF769K01FS1,6,IN_FORM,2026-03-01
INF767K01PP0,20,ON_TRACK,2026-03-01
INF194K012A8,1,IN_FORM,2026-03-01
INF959L01HK9,36,ON_TRACK,2026-03-01
INF205K01NJ9,16,ON_TRACK,2026-03-01
INF767K01RK7,4,IN_FORM,2026-03-01
INF917K01IN1,28,OUT_OF_FORM,2026-03-01
INF109K01Y07,1,IN_FORM,2026-03-01
INF789F1AVA3,20,OFF_TRACK,2026-03-01
INF789F1AZH9,,IN_FORM,2026-03-01
INF740KA1WF0,,IN_FORM,2026-03-01
INF174KA1210,15,ON_TRACK,2026-03-01
INF109K01U92,3,IN_FORM,2026-03-01
INF846K013E0,7,IN_FORM,2026-03-01
INF740KA1RB9,,IN_FORM,2026-03-01
INF194KB1DP9,4,IN_FORM,2026-03-01
INF200K01RA0,3,IN_FORM,2026-03-01
INF277K017X9,18,OFF_TRACK,2026-03-01
INF109K01Y80,10,IN_FORM,2026-03-01
INF174KA1XG1,,ON_TRACK,2026-03-01
INF174KA1HA7,21,IN_FORM,2026-03-01
INF582M01BU9,16,OFF_TRACK,2026-03-01
INF179KC1IX0,4,ON_TRACK,2026-03-01
INF966L01AK9,3,ON_TRACK,2026-03-01
INF209KB15R9,3,IN_FORM,2026-03-01
INF277KA1CI7,,ON_TRACK,2026-03-01
INF03VN01696,2,IN_FORM,2026-03-01
INF277K015K0,23,OFF_TRACK,2026-03-01
INF789F01UG3,6,IN_FORM,2026-03-01
INF0QA701BA9,38,ON_TRACK,2026-03-01
INF846K015J4,3,IN_FORM,2026-03-01
INF397L01KA7,25,OUT_OF_FORM,2026-03-01
INF663L01W06,19,OFF_TRACK,2026-03-01
INF194KB1IW4,2,IN_FORM,2026-03-01
INF194KB1JA8,,IN_FORM,2026-03-01
INF204KC1GL8,,ON_TRACK,2026-03-01
INF192K01CC7,16,ON_TRACK,2026-03-01
INF204KC1DY8,3,IN_FORM,2026-03-01
INF846K01K35,9,ON_TRACK,2026-03-01
INF179K01WM1,9,IN_FORM,2026-03-01
INF903J01MJ3,9,ON_TRACK,2026-03-01
INF247L01AY5,,ON_TRACK,2026-03-01
INF740KA1VN6,10,ON_TRACK,2026-03-01
INF846K019H0,2,IN_FORM,2026-03-01
INF174KA1WD0,,IN_FORM,2026-03-01
INF666M01HY9,4,IN_FORM,2026-03-01
INF666M01600,21,OFF_TRACK,2026-03-01
INF277KA1943,11,ON_TRACK,2026-03-01
INF247L01DL6,,IN_FORM,2026-03-01
INF205K01MD4,9,ON_TRACK,2026-03-01
INF109KC1O09,2,IN_FORM,2026-03-01
INF761K01819,7,ON_TRACK,2026-03-01
INF247L01BF2,,ON_TRACK,2026-03-01
INF204KB15W0,10,ON_TRACK,2026-03-01
INF740K01QD1,8,ON_TRACK,2026-03-01
INF194KB1AL4,2,IN_FORM,2026-03-01
INF959L01HM5,7,ON_TRACK,2026-03-01
INF789F1AZM9,3,IN_FORM,2026-03-01
INF173K01FI7,21,OFF_TRACK,2026-03-01
INF174K01JZ1,3,IN_FORM,2026-03-01
INF959L01HQ6,,IN_FORM,2026-03-01
INF740KA1CR7,1,IN_FORM,2026-03-01
INF084M01DJ5,7,IN_FORM,2026-03-01
INF0J8L01115,40,OUT_OF_FORM,2026-03-01
INF174KA1TY2,,IN_FORM,2026-03-01
INF109KC10J7,2,IN_FORM,2026-03-01
INF760K01GB4,12,ON_TRACK,2026-03-01
INF194KB1IK9,9,ON_TRACK,2026-03-01
INF179K01WQ2,8,ON_TRACK,2026-03-01
INF209K01YU5,6,IN_FORM,2026-03-01
INF879O01100,5,IN_FORM,2026-03-01
INF740KA1DN4,18,ON_TRACK,2026-03-01
INF090I01FK3,10,IN_FORM,2026-03-01
INF082J01036,23,OUT_OF_FORM,2026-03-01
INF582M01GA0,20,OUT_OF_FORM,2026-03-01
INF754K01SS6,1,IN_FORM,2026-03-01
INF173K01FQ0,17,OFF_TRACK,2026-03-01
INF663L01FF1,27,OFF_TRACK,2026-03-01
INF200KB1936,3,ON_TRACK,2026-03-01
INF336L01DH5,24,OFF_TRACK,2026-03-01
INF769K01DM9,18,ON_TRACK,2026-03-01
INF767K01FB1,9,OUT_OF_FORM,2026-03-01
INF200KA1507,1,IN_FORM,2026-03-01
INF204KC1EE8,2,IN_FORM,2026-03-01
INF789F1AB48,2,IN_FORM,2026-03-01
INF846K01Z87,7,OUT_OF_FORM,2026-03-01
INF680P01158,39,OUT_OF_FORM,2026-03-01
INF761K01652,18,OFF_TRACK,2026-03-01
INF109K013J1,16,OUT_OF_FORM,2026-03-01
INF760K01EI4,19,OFF_TRACK,2026-03-01
INF205K01MV6,2,IN_FORM,2026-03-01
INF903J01NN3,32,OFF_TRACK,2026-03-01
INF769K01MD9,6,IN_FORM,2026-03-01
INF903JA1LE2,8,IN_FORM,2026-03-01
INF194K01Z44,13,ON_TRACK,2026-03-01
INF846K01W23,8,OFF_TRACK,2026-03-01
INF209K01WC7,6,ON_TRACK,2026-03-01
INF959L01GD6,1,IN_FORM,2026-03-01
INF769K01OE3,,IN_FORM,2026-03-01
INF109K012M7,13,IN_FORM,2026-03-01
INF336L01QZ9,5,IN_FORM,2026-03-01
INF194K01W62,25,OFF_TRACK,2026-03-01
INF179KC1GE4,5,ON_TRACK,2026-03-01
INF194KA1U56,9,ON_TRACK,2026-03-01
INF200K01SE0,3,ON_TRACK,2026-03-01
INF846K015W7,5,IN_FORM,2026-03-01
INF336L01PB2,14,ON_TRACK,2026-03-01
INF0R8F01018,1,IN_FORM,2026-03-01
INF204K01XF9,2,IN_FORM,2026-03-01
INF090I01IN1,26,OUT_OF_FORM,2026-03-01
INF179KC1JI9,,IN_FORM,2026-03-01
INF209K014W1,12,OFF_TRACK,2026-03-01
INF205K014Q7,18,OFF_TRACK,2026-03-01
INF174K01LF9,3,IN_FORM,2026-03-01
INF761K01702,6,IN_FORM,2026-03-01
INF582M01EK4,9,ON_TRACK,2026-03-01
INF205KA1338,9,OFF_TRACK,2026-03-01
INF209K01XH4,5,IN_FORM,2026-03-01
INF204KC1584,4,IN_FORM,2026-03-01
INF277K01MK8,22,OUT_OF_FORM,2026-03-01
INF204K01K80,29,ON_TRACK,2026-03-01
INF789F1AB22,,ON_TRACK,2026-03-01
INF966L01648,23,OUT_OF_FORM,2026-03-01
INF846K012V6,31,ON_TRACK,2026-03-01
INF903JA1LV6,,ON_TRACK,2026-03-01
INF192K01BW7,16,ON_TRACK,2026-03-01
INF754K01BW4,6,IN_FORM,2026-03-01
INF754K01JN6,3,IN_FORM,2026-03-01
INF204KC1378,6,IN_FORM,2026-03-01
INF22M001044,23,ON_TRACK,2026-03-01
INF209KB16F2,7,IN_FORM,2026-03-01
INF789F1AYP5,5,ON_TRACK,2026-03-01
INF174V01093,6,IN_FORM,2026-03-01
INF194KB1IY0,,ON_TRACK,2026-03-01
INF044D01BX3,28,OUT_OF_FORM,2026-03-01
INF174V01945,16,OFF_TRACK,2026-03-01
INF247L01189,23,OUT_OF_FORM,2026-03-01
INF090I01FN7,20,OFF_TRACK,2026-03-01
INF767K01NK6,15,OUT_OF_FORM,2026-03-01
INF179KC1BM8,3,IN_FORM,2026-03-01
INF205K013T3,1,IN_FORM,2026-03-01
INF204KC1EW0,,ON_TRACK,2026-03-01
INF277K01I86,26,OFF_TRACK,2026-03-01
INF789F01SN3,14,OUT_OF_FORM,2026-03-01
INF277KA1BA6,,ON_TRACK,2026-03-01
INF959L01FT4,2,IN_FORM,2026-03-01
INF959L01CH6,24,OUT_OF_FORM,2026-03-01
INF760K01FO9,4,IN_FORM,2026-03-01
INF179K01XQ0,1,IN_FORM,2026-03-01
INF209K01WA1,2,IN_FORM,2026-03-01
INF846K01EV4,9,OFF_TRACK,2026-03-01
INF109KC1GH2,1,IN_FORM,2026-03-01
INF223J013N7,22,ON_TRACK,2026-03-01
INF247L01932,3,IN_FORM,2026-03-01
INF200K01QU0,8,IN_FORM,2026-03-01
INF174KA1EN7,9,ON_TRACK,2026-03-01
INF205K01KR8,1,IN_FORM,2026-03-01
INF846K01A29,14,ON_TRACK,2026-03-01
INF754K01TN5,,IN_FORM,2026-03-01
INF846K019W9,1,IN_FORM,2026-03-01
INF090I01GF1,13,ON_TRACK,2026-03-01
INF109K015M0,18,OFF_TRACK,2026-03-01
INF740KA1WL8,1,IN_FORM,2026-03-01
INF666M01KT3,35,ON_TRACK,2026-03-01
INF209K01YY7,10,ON_TRACK,2026-03-01
INF179KC1CA1,,ON_TRACK,2026-03-01
INF0R8F01083,12,IN_FORM,2026-03-01
INF200KB1027,6,ON_TRACK,2026-03-01
INF663L01V49,25,OUT_OF_FORM,2026-03-01
INF966L01853,21,OFF_TRACK,2026-03-01
INF209K01XX1,15,ON_TRACK,2026-03-01
INF769K01MQ1,22,IN_FORM,2026-03-01
INF179K01WN9,28,ON_TRACK,2026-03-01
INF769K01EK1,2,IN_FORM,2026-03-01
INF204KC1CE2,2,IN_FORM,2026-03-01
INF204K01XI3,1,IN_FORM,2026-03-01
INF204KC1BY2,8,IN_FORM,2026-03-01
INF194KB1JK7,11,IN_FORM,2026-03-01
INF174V01184,6,IN_FORM,2026-03-01
INF03VN01621,4,IN_FORM,2026-03-01
INF109K01S39,2,IN_FORM,2026-03-01
INF192K01BN6,21,ON_TRACK,2026-03-01
INF192K01CE3,20,ON_TRACK,2026-03-01
INF740K01OK1,3,IN_FORM,2026-03-01
INF0J8L01065,19,ON_TRACK,2026-03-01
INF247L01DW3,,IN_FORM,2026-03-01
INF205K01LE4,7,ON_TRACK,2026-03-01
INF277K01QH5,15,OFF_TRACK,2026-03-01
INF00XX01929,14,ON_TRACK,2026-03-01
INF209KB1Z71,4,IN_FORM,2026-03-01
INF209K01WQ7,15,ON_TRACK,2026-03-01
INF846K013H3,,ON_TRACK,2026-03-01
INF174V01507,6,IN_FORM,2026-03-01
INF397L01LK4,11,OUT_OF_FORM,2026-03-01
INF663L01FN5,30,OFF_TRACK,2026-03-01
INF00XX01CO7,6,IN_FORM,2026-03-01
INF754K01NB3,17,IN_FORM,2026-03-01
INF666M01BE4,22,OUT_OF_FORM,2026-03-01
INF174K01LS2,21,OFF_TRACK,2026-03-01
INF277K01PQ8,18,OUT_OF_FORM,2026-03-01
INF174V01788,2,IN_FORM,2026-03-01
INF767K01EJ7,30,OUT_OF_FORM,2026-03-01
INF740K01NY4,13,ON_TRACK,2026-03-01
INF192K01BT3,12,ON_TRACK,2026-03-01
INF200K01TE8,20,IN_FORM,2026-03-01
INF761K01FR0,5,IN_FORM,2026-03-01
INF247L01916,1,IN_FORM,2026-03-01
INF204K01I50,5,ON_TRACK,2026-03-01
INF666M01LT1,16,ON_TRACK,2026-03-01
INF205KA1494,9,IN_FORM,2026-03-01
INF247L01635,29,OUT_OF_FORM,2026-03-01
INF204KC1FD7,18,IN_FORM,2026-03-01
INF754K01OP1,10,ON_TRACK,2026-03-01
INF179KC1BS5,11,ON_TRACK,2026-03-01
INF582M01CU7,26,OUT_OF_FORM,2026-03-01
INF846K01DS2,13,ON_TRACK,2026-03-01
INF769K01IN6,5,IN_FORM,2026-03-01
INF966L01689,10,ON_TRACK,2026-03-01
INF789F1AZJ5,11,ON_TRACK,2026-03-01
INF200K01RY0,12,ON_TRACK,2026-03-01
INF174K01MP6,10,IN_FORM,2026-03-01
INF090I01FE6,2,IN_FORM,2026-03-01
INF179K01YV8,7,IN_FORM,2026-03-01
INF277K015Z8,6,OFF_TRACK,2026-03-01
INF277K017Q3,2,IN_FORM,2026-03-01
INF247L01FM9,,IN_FORM,2026-03-01
INF179K01XZ1,19,OFF_TRACK,2026-03-01
INF209K01VF2,5,OFF_TRACK,2026-03-01
INF200KB1621,3,IN_FORM,2026-03-01
INF846K010C0,4,IN_FORM,2026-03-01
INF204K01G94,11,ON_TRACK,2026-03-01
INF179KC1IE0,1,IN_FORM,2026-03-01
INF740KA1NQ6,6,OUT_OF_FORM,2026-03-01
INF179KC1BY3,30,ON_TRACK,2026-03-01
INF843K01AL0,13,ON_TRACK,2026-03-01
INF903J01NK9,13,OFF_TRACK,2026-03-01
INF767K01FJ4,32,ON_TRACK,2026-03-01
INF959L01FP2,12,IN_FORM,2026-03-01
INF754K01QD2,,ON_TRACK,2026-03-01
INF090I01JS8,7,IN_FORM,2026-03-01
INF192K01BZ0,18,ON_TRACK,2026-03-01
INF397L01KU5,20,OUT_OF_FORM,2026-03-01
INF194K01V89,2,IN_FORM,2026-03-01
INF846K01EH3,19,OFF_TRACK,2026-03-01
INF209KC1589,,IN_FORM,2026-03-01
INF251K01HN7,15,ON_TRACK,2026-03-01
INF204K01XZ7,9,IN_FORM,2026-03-01
INF247L01DY9,,IN_FORM,2026-03-01
INF251K01PN0,19,OFF_TRACK,2026-03-01
INF582M01ES7,23,ON_TRACK,2026-03-01
INF03VN01761,6,ON_TRACK,2026-03-01
INF0K1H01065,41,OUT_OF_FORM,2026-03-01
INF846K017R3,5,IN_FORM,2026-03-01
INF582M01633,17,ON_TRACK,2026-03-01
INF959L01CD5,38,OUT_OF_FORM,2026-03-01
INF174K01KZ9,5,IN_FORM,2026-03-01
INF740K01NO5,8,ON_TRACK,2026-03-01
INF200K01RM5,12,OFF_TRACK,2026-03-01
INF760K01EL8,21,ON_TRACK,2026-03-01
INF22M001077,14,ON_TRACK,2026-03-01
INF789FB1RG6,10,IN_FORM,2026-03-01
INF174KA1WN9,,IN_FORM,2026-03-01
INF582M01LA0,15,ON_TRACK,2026-03-01
INF200K01RV6,1,IN_FORM,2026-03-01
